"logFC"	"AveExpr"	"t"	"P.Value"	"adj.P.Val"	"B"	"Symbol"
"16692802"	-0.810519481611104	7.32500528527859	-7.00504890952333	8.02359586994508e-08	0.0018556170168422	7.37339860579684	NA
"16786580"	-1.26470449777857	6.09111754147677	-5.99905312270572	1.3150346885899e-06	0.0121966248296681	5.01857929239355	NA
"16722398"	0.463179334258923	12.1766219578918	5.92944029768161	1.60041940031838e-06	0.0121966248296681	4.85121971198878	NA
"16963400"	-1.18109212047886	6.78654658110028	-5.83171130021892	2.10950401343332e-06	0.0121966248296681	4.61548787036946	NA
"16964904"	0.522472556305679	7.40533721982268	5.60123478444936	4.05350935954343e-06	0.0169388035936146	4.05632851793106	NA
"16706233"	-0.933549276446625	6.07581892048065	-5.57277894441247	4.39455275486175e-06	0.0169388035936146	3.98701145839203	NA
"16865677"	-0.877370243422121	8.06880993979019	-5.48341840176828	5.66444950008252e-06	0.0178121410439211	3.76898377595606	NA
"17009661"	0.731914740928749	8.06364684468944	5.45382516181375	6.16150509583469e-06	0.0178121410439211	3.69667093686035	NA
"16922573"	-0.662595269895316	6.19458235072297	-5.34874520381822	8.30725480791564e-06	0.0213468757714072	3.43951052618106	"MORC3"
"16684326"	0.723176264583217	7.22242016689047	5.29588553864048	9.65528688673266e-06	0.0223297819829466	3.3099418662689	"MIR4420"
"16987992"	0.888855961303623	7.28187131299708	5.23149363287632	1.15967166866682e-05	0.0243815697102342	3.15194670065859	"SNORA13"
"16924320"	-0.528980238267793	5.02774288836223	-5.19055057766361	1.30296436799939e-05	0.0251113807822682	3.05140762500863	"C21orf91-OT1"
"16774079"	-0.625167584532067	5.92732396942554	-5.08000262517785	1.78458623328617e-05	0.031747789090161	2.77970421419135	NA
"17110367"	0.672821462387902	5.60068663894292	5.04834873383029	1.95273789394127e-05	0.0322578351951283	2.70185517527696	"MIR222"
"16875338"	-0.893490300532424	5.8925527685893	-4.93111584279927	2.7252840764335e-05	0.0420184298904516	2.41342466055898	NA
"16864901"	-0.641834645833753	6.87268714333834	-4.88438095670949	3.11231180926052e-05	0.0429969320350055	2.29842314920166	"ZNF137P"
"17006743"	0.686041651635694	8.68892749389353	4.85468378919412	3.3862134767974e-05	0.0429969320350055	2.22535009326947	"SNORA38"
"16732788"	0.993351294201774	4.72540549704879	4.83529346834919	3.57787345457854e-05	0.0429969320350055	2.17764145717428	NA
"16780419"	0.678536694424567	7.04084865433848	4.83006527163002	3.63137380908956e-05	0.0429969320350055	2.16477841254821	NA
"16913239"	-0.762946914968129	5.83879734009396	-4.81017317885769	3.84230887935948e-05	0.0429969320350055	2.11584026077537	NA
"17114793"	0.538426198272697	4.82180885992646	4.80453812657635	3.90424859573276e-05	0.0429969320350055	2.10197790971136	"MIR508"
"17117527"	-0.645590767492417	7.35762043666446	-4.77559915393448	4.23833845137378e-05	0.0445545697113279	2.03079483432149	"LOC399900"
"16800105"	-0.619040892709688	8.62720598060885	-4.73397836063242	4.76926823772403e-05	0.0479560289277581	1.92844414850359	NA
