"logFC"	"AveExpr"	"t"	"P.Value"	"adj.P.Val"	"B"	"Symbol"
"16768006"	1.26236198042447	5.74040777826355	8.30070226079221	2.56027550874542e-09	4.84978251704888e-05	10.9712597230045	"MIR618"
"17005001"	-1.21343533682871	8.43528168843743	-8.11024846927442	4.19404377312136e-09	4.84978251704888e-05	10.5318577554387	"CD83"
"17000465"	-0.723933232972925	8.91917512851018	-7.31516600235986	3.45534459745349e-08	0.00026637251501769	8.63852693388851	"ETF1"
"16778460"	0.981710792880325	8.0827006818387	7.14780675239683	5.43721021587499e-08	0.000314365901656352	8.22846663354122	"KBTBD7"
"16728853"	0.858156442851469	7.7700880450711	6.84283091613056	1.25176671878549e-07	0.000578992178107042	7.47172326440605	NA
"16693810"	1.33277971492391	8.62671420875977	6.75425559935815	1.59762896819253e-07	0.000587274587970453	7.24975439000034	NA
"17118158"	-0.919527246602344	8.77131162507133	-6.71559927457191	1.77754231668317e-07	0.000587274587970453	7.15258752369748	NA
"16769900"	0.89817040058093	7.08431558804887	6.63108670222271	2.24571059639303e-07	0.000649206862034769	6.93954840337149	NA
"16922573"	0.800120325531875	6.19458235072297	6.45890477657987	3.62314395828692e-07	0.000903063978634257	6.50303209132613	"MORC3"
"16864165"	-0.793237309709937	9.31289558179992	-6.35637960242371	4.82284579172169e-07	0.000903063978634257	6.24161177566809	NA
"16864166"	-0.793237309709937	9.31289558179992	-6.35637960242371	4.82284579172169e-07	0.000903063978634257	6.24161177566809	NA
"16832568"	-0.838502768155946	10.2757180314415	-6.32511276081364	5.26331670511394e-07	0.000903063978634257	6.16167572995993	NA
"16752018"	-0.861919468150239	10.0026916274593	-6.32282817911105	5.29705116781218e-07	0.000903063978634257	6.15583124688482	NA
"16745154"	-0.749913962505733	10.0662701750577	-6.28437237973706	5.89883036679713e-07	0.000903063978634257	6.05737636860488	NA
"16722392"	-1.11528772704626	7.53678552978704	-6.24842141174409	6.52376418290629e-07	0.000903063978634257	5.9652063517067	NA
"16726825"	0.808933554837141	7.734341364039	6.2376773646807	6.7231991746979e-07	0.000903063978634257	5.9376374890055	"CDC42EP2"
"16855182"	-0.824389208421982	8.45341562407483	-6.19629697515446	7.55055644195924e-07	0.000903063978634257	5.83135724493864	NA
"16855183"	-0.824389208421982	8.45341562407483	-6.19629697515446	7.55055644195924e-07	0.000903063978634257	5.83135724493864	NA
"16964904"	-0.577863693225848	7.40533721982268	-6.19506264989982	7.57675504964206e-07	0.000903063978634257	5.82818463857912	NA
"16900441"	-0.953553604108922	8.61500655328942	-6.18427754950691	7.80960763293343e-07	0.000903063978634257	5.80045767563793	"DUSP2"
"16926200"	-0.816962847741375	7.68784536004127	-6.12704412129887	9.17171906755148e-07	0.00101006831845363	5.65314596642336	"SIK1"
"17013722"	-1.54153869134061	5.45288479897147	-6.07862933873044	1.05096936950292e-06	0.0010671515489376	5.52831174668385	NA
"16971417"	-0.717750425271742	9.87925265392589	-6.0751566171813	1.06129137482444e-06	0.0010671515489376	5.51935001061128	NA
"17075594"	0.573549248873984	6.52530688818686	6.00812265627439	1.28183924774744e-06	0.00123521234511063	5.34616949197314	"GNRH1"
"16752014"	-0.89709327891442	9.80558923805174	-5.96736552701321	1.43796610527699e-06	0.00131245336978825	5.24070148598023	NA
"16805538"	0.78419458244904	6.15200213599167	5.94715949713333	1.52233695961915e-06	0.00131245336978825	5.18836726778153	"LUNAR1"
"17058249"	-0.726076130751244	9.63259284897978	-5.94486089182531	1.53224546998239e-06	0.00131245336978825	5.18241188971471	"SBDS"
"16761201"	-1.60665618044032	9.11852187465441	-5.92541226555467	1.61872507532341e-06	0.0013370091006073	5.13200760475765	"CD69"
"16755533"	-0.925702576492744	10.3414926431053	-5.89681548697257	1.75489285701448e-06	0.00139949679669565	5.05784486704827	NA
"16903897"	-1.49950798795901	8.43565120680816	-5.80311224474774	2.28729306097249e-06	0.00175847968323868	4.81444231646794	"NR4A2"
"17016530"	0.65461914638045	7.78461341632672	5.79248895033413	2.357109446984e-06	0.00175847968323868	4.78681120635157	"ZKSCAN4"
"16709242"	0.653407126130999	8.22072943982485	5.77781349217417	2.4570973759873e-06	0.00177579034420182	4.74862890706043	NA
"16755525"	-0.663200143000298	10.7652646134473	-5.76415716101988	2.55397102258813e-06	0.00178986932846654	4.71308632183938	NA
"16998059"	0.590701544286409	11.6415821788398	5.73431306065233	2.77925869329547e-06	0.0018856561284899	4.63537402761856	"ARRDC3"
"16740630"	-0.913936270413855	6.62506669963348	-5.72498195212402	2.85371922415993e-06	0.0018856561284899	4.6110657313645	"FOSL1"
"16790261"	-0.697804607927978	11.2364235159654	-5.69625306525722	3.09580300702821e-06	0.00193470768813764	4.53619384321136	NA
