"Intercept.T1"	"Intercept.T2"	"Intercept.T3"	"Intercept.T4"	"T1.T2"	"T1.T3"	"T1.T4"	"T2.T3"	"T2.T4"	"T3.T4"	"AveExpr"	"F"	"P.Value"	"adj.P.Val"	"Symbol"
"16742840"	-0.0667621739569171	0.0115094929288464	0.390753360305608	1.04405077192596	0.0782716668857635	0.457515534262525	1.11081294588288	0.379243867376761	1.03254127899711	0.653297411620352	8.21322524258974	39.9704449729536	2.06364069641358e-17	5.14383079988049e-13	"LOC100506282"
"16951079"	-0.0480871532477849	0.0202074822644098	0.299717481380621	0.95591401572906	0.0682946355121947	0.347804634628406	1.00400116897684	0.279509999116211	0.93570653346465	0.656196534348439	5.45904262778193	29.6974196913498	1.86393117227374e-14	1.14937362444584e-10	"LOC102725086"
"16988537"	-0.078535687096462	0.194460768166266	0.62857448913771	1.11448504573469	0.272996455262728	0.707110176234172	1.19302073283115	0.434113720971444	0.920024277568427	0.485910556596982	9.01572422383745	29.6513830027587	1.9277183179938e-14	1.14937362444584e-10	NA
"16889406"	-0.339906549755043	-0.0398976570244862	0.444078749634436	1.51542721099703	0.300008892730557	0.78398529938948	1.85533376075208	0.483976406658923	1.55532486802152	1.0713484613626	5.92993141747512	29.4072325576507	2.30557174124577e-14	1.14937362444584e-10	NA
"16808993"	-0.191798912303675	0.323576377300344	0.48800603795923	1.02430529099613	0.515375289604019	0.679804950262905	1.21610420329981	0.164429660658886	0.700728913695786	0.5362992530369	7.07145211370336	28.479591586612	4.58948431024593e-14	1.9066247652865e-10	NA
"16706422"	8.75440292258389e-05	-0.102221892455059	0.372306687494212	1.69914755518189	-0.102309436484285	0.372219143464986	1.69906001115266	0.474528579949271	1.80136944763695	1.32684086768768	7.79807479384053	27.5505090523476	9.27149822862217e-14	3.30144806923766e-10	NA
"16676983"	0.283470303291163	0.196674448032071	-0.163699426449259	-1.39180349597893	-0.0867958552590924	-0.447169729740422	-1.67527379927009	-0.36037387448133	-1.588477944011	-1.22810406952967	7.49352407439221	26.9516380082661	1.4697891890777e-13	4.29411382034682e-10	"G0S2"
"16785083"	-0.11622577379091	-0.0250862865957364	-0.0235498231174551	-1.26508113451379	0.0911394871951741	0.0926759506734554	-1.14885536072288	0.00153646347828129	-1.23999484791805	-1.24153131139633	6.48779977430293	26.0126527429818	3.06429137729649e-13	6.47482403860839e-10	NA
"16706423"	-0.00728507251279531	0.128599811189869	0.24683381992854	1.6277540623364	0.135884883702664	0.254118892441335	1.63503913484919	0.118234008738671	1.49915425114653	1.38092024240786	7.87088986490544	25.6505965440092	4.08455604686949e-13	7.83166492494377e-10	NA
"16952414"	0.0853395675692035	-0.0962879198747961	-0.345379848061871	-1.1634568574838	-0.181627487444	-0.430719415631074	-1.248796425053	-0.249091928187075	-1.067168937609	-0.818077009421927	7.62072197058234	24.2307687927142	1.29000446730183e-12	2.00966570949784e-09	"CSRNP1"
"17075392"	-0.0400948737959874	-0.0113066486030595	0.0666259946702406	-1.04398960102171	0.0287882251929279	0.106720868466228	-1.00389472722572	0.0779326432733001	-1.03268295241865	-1.11061559569195	4.57329518234371	23.8798758985094	1.72405861661828e-12	2.50936089495442e-09	"LOC286058"
"16999773"	0.235632266914548	0.104256621174998	-0.0817064762656461	-0.901409192717629	-0.13137564573955	-0.317338743180194	-1.13704145963218	-0.185963097440644	-1.00566581389263	-0.819702716451983	5.92074323432491	23.8199048099436	1.81210367123404e-12	2.50936089495442e-09	NA
"16740332"	0.0882170216779734	0.127962956881893	-0.139868185115983	-1.54105129864163	0.0397459352039196	-0.228085206793956	-1.62926832031961	-0.267831141997876	-1.66901425552353	-1.40118311352565	6.64136613555251	23.4713964118874	2.42375691171368e-12	2.87688403720835e-09	NA
"16887358"	0.0794557208852913	0.618974280870519	0.676796342264523	1.83506489025964	0.539518559985227	0.597340621379232	1.75560916937435	0.0578220613940044	1.21609060938912	1.15826854799511	4.13762225760957	22.7796809658168	4.3478601950831e-12	4.71194622707136e-09	NA
"16903897"	0.154861731361882	0.0490231124608265	-0.0926899268640859	-0.953581522024181	-0.105838618901055	-0.247551658225968	-1.10844325338606	-0.141713039324912	-1.00260463448501	-0.860891595160095	6.6471601699981	22.5245209081188	5.40695423684435e-12	5.61557255448259e-09	"NR4A2"
"16740338"	0.366261578602432	0.208924882628747	0.0478264765778755	-1.14055438783353	-0.157336695973686	-0.318435102024557	-1.50681596643596	-0.161098406050871	-1.34947927046227	-1.1883808644114	6.16493653357286	22.3310426465705	6.38455289784148e-12	6.36565462126387e-09	NA
"16997676"	-0.313371480312682	-0.28189027706305	0.160588104414566	1.03317799485375	0.0314812032496317	0.473959584727248	1.34654947516644	0.442478381477616	1.3150682719168	0.872589890439188	7.90301113033021	22.2725918347908	6.71432062578912e-12	6.43696753532383e-09	"MTRNR2L2"
"16933766"	0.168306766836844	0.0296895674029409	-0.167650278415896	-0.835781140983329	-0.138617199433903	-0.33595704525274	-1.00408790782017	-0.197339845818837	-0.86547070838627	-0.668130862567433	6.03789022397143	22.079436759609	7.93411828686479e-12	7.06306544351399e-09	"OSM"
"16740335"	0.444625434711494	0.0132793293260995	-0.136325487986173	-1.22152823159525	-0.431346105385394	-0.580950922697667	-1.66615366630674	-0.149604817312273	-1.23480756092135	-1.08520274360907	7.08135402291533	21.5515851165404	1.25707977358147e-11	1.08048173918247e-08	NA
