"Intercept.T1"	"T1.T2"	"T2.T3"	"T3.T4"	"AveExpr"	"F"	"P.Value"	"adj.P.Val"
"16889406"	-0.339906549755043	0.300008892730557	0.483976406658923	1.0713484613626	5.92993141747512	29.4072325576505	2.30557174124615e-14	1.14937362444603e-10
"16706422"	8.75440292258389e-05	-0.102309436484285	0.474528579949271	1.32684086768768	7.79807479384053	27.5505090523474	9.27149822862342e-14	3.30144806923811e-10
"16676983"	0.283470303291163	-0.0867958552590924	-0.36037387448133	-1.22810406952967	7.49352407439221	26.9516380082659	1.46978918907788e-13	4.29411382034737e-10
"16785083"	-0.11622577379091	0.0911394871951741	0.00153646347828129	-1.24153131139633	6.48779977430293	26.0126527429817	3.06429137729675e-13	6.47482403860968e-10
"16706423"	-0.00728507251279531	0.135884883702664	0.118234008738671	1.38092024240786	7.87088986490544	25.6505965440091	4.08455604686999e-13	7.83166492494472e-10
"17075392"	-0.0400948737959874	0.0287882251929279	0.0779326432733001	-1.11061559569195	4.57329518234371	23.8798758985093	1.72405861661842e-12	2.50936089495473e-09
"16740332"	0.0882170216779734	0.0397459352039196	-0.267831141997876	-1.40118311352565	6.64136613555251	23.4713964118873	2.42375691171393e-12	2.87688403720864e-09
"16887358"	0.0794557208852913	0.539518559985227	0.0578220613940044	1.15826854799511	4.13762225760957	22.7796809658166	4.34786019508378e-12	4.7119462270721e-09
"16740338"	0.366261578602432	-0.157336695973686	-0.161098406050871	-1.1883808644114	6.16493653357286	22.3310426465703	6.38455289784209e-12	6.36565462126448e-09
"16740335"	0.444625434711494	-0.431346105385394	-0.149604817312273	-1.08520274360907	7.08135402291533	21.5515851165403	1.25707977358163e-11	1.08048173918261e-08
"17084415"	0.185226944639473	-0.0396511912503259	-0.00193876890415989	-1.01648188397664	5.87562071979049	18.0439957837884	3.14063488117426e-10	1.44969379718796e-07
"16706421"	-0.210638135457091	-0.00275774859359679	0.469284398732545	1.75827407488812	6.13050634567376	16.668319142399	1.20573909695707e-09	4.08491817060367e-07
"16708238"	-0.240466330792214	0.167015367640959	0.180079314191394	1.01727996531725	6.34947919813895	16.2352556613227	1.86107557943502e-09	5.58905661361413e-07
"16740337"	0.284903473861692	0.139443520365602	-0.525247501923724	-1.13822150717557	6.19380914825343	16.167462444786	1.99287311050378e-09	5.84404178263732e-07
"16691755"	0.0240565533119401	1.67897196983492	-0.306020090883685	-0.364880464787733	6.07330252420938	16.0841838985226	2.16800288568916e-09	6.07728673249918e-07
"16882821"	-0.0973884410382437	1.01857374906965	-0.0413697317518258	0.0756219521201897	5.34733819610474	15.8265642440455	2.81682835976984e-09	7.2383777005797e-07
"16711138"	0.187271004712903	0.0683198093624604	-0.452679971045683	-1.25942436195173	4.93329341247461	15.1552577876953	5.62275676249828e-09	1.35916527193441e-06
"16853375"	0.0574819378535345	1.18139352842105	-0.250007036244977	0.0535957212923863	6.29985361239244	13.6903437299841	2.66354764868565e-08	4.6754639923337e-06
"17020497"	0.0557746898858396	2.02496677734684	-0.316206797896198	-0.462708507606408	6.13002593408057	12.769367089476	7.33306938963827e-08	1.10110896148267e-05
"16967863"	0.245713636178801	-0.310079943493446	-0.013089778606151	-1.15218763567326	5.4792245641942	8.06701945645876	2.07266871745525e-05	0.000846940007398189
"17074305"	0.222133950106206	0.123347783352597	0.0729588555269611	-1.04159497135163	7.50305653505193	7.42838957678076	4.77033888292713e-05	0.001600797130789
"17121972"	0.367314628559128	-0.23412397383546	0.115145674953426	-1.09521601036088	4.84238867054276	6.96286809236571	8.85340770261074e-05	0.00261469242174497
"17116675"	-0.167165106706238	1.43783937538578	-0.354665927512238	-0.735425036269989	7.25418994337752	6.77415939822259	0.000114052470394333	0.00315874653005459
"16713395"	0.241615328691067	1.24960758968116	-0.451552950800912	-0.396465698928792	4.53042413609606	6.68502465938604	0.000128613232115395	0.00346200153748201
"16862563"	0.362868035793995	0.100902181086956	0.137569480368624	-1.13724578714827	5.9518843607946	6.42658254541631	0.00018255825893339	0.00456872205037519
"16907154"	0.0465208504436365	-0.149470715477166	-1.05649883315516	-0.448520098784647	3.62408433676435	6.29853697637917	0.000217379212118379	0.0051834320584684
"17074331"	0.212936085006675	0.367605677772417	-0.128606148240047	-1.30748962841567	7.13459026325322	6.10232881475419	0.000284426912213296	0.00641014937959189
"17098171"	-0.0925670987218972	-0.0548234487802262	-0.375187073853384	1.15407905871564	4.5996786865465	6.02125375415653	0.000317992535706415	0.00687448564181969
"16872824"	0.311360568032483	0.148911718981326	0.0316738920528525	-1.17263419472367	6.95778325446619	5.59085973867328	0.000577517090153111	0.0108434107376821
"17074322"	0.317913761880009	0.190610253043056	-0.0421265547016887	-1.11592298159905	9.4301613901716	5.59069288769896	0.000577651546362494	0.0108434107376821
"16743686"	0.333598125164384	0.171048248161032	0.128276213375488	-1.02437940756409	8.04796332745952	5.55394121714977	0.000608060354387698	0.0112855639564168
"17074313"	0.313483142909581	0.19018328810948	-0.0301216441793777	-1.11500261225788	9.43406887492278	5.55155411112007	0.000610091102987617	0.01130507177116
"16790255"	0.240027171779992	0.287090904381425	0.843960026187786	-1.13761140755029	3.68234566037577	4.0482463146699	0.00519791583844444	0.0526984930345716
"16995712"	0.765130528762293	-0.477238847783998	0.895432540358948	-1.3078642476553	3.70594659529191	4.01543937297629	0.00545136363462083	0.0544753449335277
"16975302"	0.341897625149262	-0.213317120530601	0.201616092454243	-1.19916945181666	4.93946492969157	3.69197697906183	0.00873033174202467	0.0755203347243762
