"logFC"	"AveExpr"	"t"	"P.Value"	"adj.P.Val"	"B"	"Symbol"
"16858710"	0.610694443068304	10.9135595095938	7.93487293196732	2.36839566192614e-11	1.88875470597814e-08	15.5666182911075	"JUNB"
"16851247"	-1.13387168994183	5.09164036284311	-7.83381949657476	3.6370156844855e-11	2.80377539116987e-08	15.157513939598	NA
"17117999"	-0.82319194148752	7.31632220132429	-7.8091929880128	4.03767490692735e-11	2.9729677522629e-08	15.0578331977456	"LOC100508227"
"16876833"	-0.705018471929195	5.50879118045909	-7.80480329218899	4.11358879545175e-11	2.9729677522629e-08	15.0400659264862	NA
"16887358"	-1.67437150752518	4.13762225760957	-7.70082963021581	6.39393187428446e-11	4.37655746514124e-08	14.6193315307589	NA
"16963685"	-0.709081934094378	7.8221834955088	-7.6993503831173	6.43416585872798e-11	4.37655746514124e-08	14.6133472631835	"MIR571"
"16785083"	1.16290149898913	6.48779977430293	7.64913719068947	7.96067232153384e-11	5.11693739227242e-08	14.4102420252497	NA
"16811670"	1.27222237990109	4.20662351100711	7.64900489161838	7.9651379825229e-11	5.11693739227242e-08	14.4097069790883	NA
"16989199"	-0.83509392623684	6.55461721530837	-7.49106235116311	1.55509394447445e-10	9.72017774428663e-08	13.7713385589759	NA
"16778710"	0.852511057463878	4.71295614526232	7.46586760771639	1.7300760769848e-10	1.05293340611651e-07	13.6695894900402	NA
"16691383"	-0.879905615513307	6.90077122521306	-7.44978723035359	1.85188763546102e-10	1.09816936782839e-07	13.6046624642028	NA
"17056957"	-0.866598299219893	4.82532100255903	-7.43946991219144	1.93451004814557e-10	1.11666654876252e-07	13.5630104763342	NA
"17075392"	1.00988279671298	4.57329518234371	7.43401745651821	1.97964839794453e-10	1.11666654876252e-07	13.5410002633227	"LOC286058"
"16705959"	-1.06706224792457	9.09135855217874	-7.38497063004397	2.4359371533973e-10	1.34133139396713e-07	13.343070766158	NA
"16847824"	-0.528246352779774	12.2131386928904	-7.34672441412893	2.86331929334368e-10	1.53999965807347e-07	13.1888071129902	NA
"17084415"	1.085262639232	5.87562071979049	7.33815437411954	2.96890224320956e-10	1.55092654115883e-07	13.1542505330857	NA
"16708238"	-1.38482930042115	6.34947919813895	-7.33429110936601	3.01775821992249e-10	1.55092654115883e-07	13.1386741142591	NA
"16794955"	1.48898463500281	7.82939470289809	7.3117699898742	3.3189452613914e-10	1.6686358056565e-07	13.0478862226741	NA
"16706421"	-2.35212894488858	6.13050634567376	-7.28909223660767	3.6524981392985e-10	1.79726222271397e-07	12.9564947403454	NA
"16990845"	-0.706061063856952	9.58718194626836	-7.28297377247362	3.74807844861582e-10	1.80587104752371e-07	12.9318422079535	NA
"17005757"	-0.577086260312601	5.77476424017562	-7.21640361275053	4.96368501666211e-10	2.3427580281703e-07	12.6637592262154	"LOC105374989"
"17023377"	-0.981024664487363	5.6674914835645	-7.20525172895396	5.2026997977771e-10	2.40645676446382e-07	12.6188762045804	NA
"16840620"	0.389863981484709	9.61957707400975	7.19425316038329	5.44965435751868e-10	2.44255975284717e-07	12.5746179827222	"GPS2"
"16958012"	-0.520138025550185	10.2909923863359	-7.19241791859231	5.49198370510887e-10	2.44255975284717e-07	12.5672337305674	NA
"16876645"	-0.62872913742177	6.47525196492214	-7.13142104705591	7.10157409652432e-10	3.09883215340223e-07	12.3219351457276	NA
"16910206"	-0.558130712679735	6.46951095114975	-7.1022885062742	8.02834915611206e-10	3.43836353580377e-07	12.2048698094153	NA
"16740330"	0.888147407467721	8.00567842078235	7.05839277436153	9.65696255119208e-10	4.06066496220762e-07	12.0285981664035	NA
"16832568"	-0.731607845517448	9.01660471049932	-7.00835999638293	1.19175761607282e-09	4.83640948042821e-07	11.8278634743819	NA
"16957636"	-0.483684622030851	7.76594368188178	-7.0083103029815	1.1920064875877e-09	4.83640948042821e-07	11.8276642010142	"ZBTB20"
"16883546"	-0.610702866460902	6.05793743656679	-6.9898226694508	1.28827772841748e-09	5.13689638363983e-07	11.7535418400894	NA
"16918664"	0.416830914041617	8.60210341815888	6.9747956574494	1.37219890202216e-09	5.37878711984177e-07	11.6933151189347	"EIF6"
"16929056"	-0.344768921731077	11.2639377579698	-6.95139025978716	1.51387075178552e-09	5.83521481275727e-07	11.599546991996	"TUG1"
"16872223"	1.10912278721326	9.6358229868377	6.92969314980919	1.65816257596138e-09	6.28661080233752e-07	11.5126653215491	NA
"17061879"	-0.932443188702972	5.73200827679536	-6.90232750448182	1.85980960756405e-09	6.93738980550544e-07	11.4031451786262	NA
"16740339"	0.783132992308126	8.11876451875874	6.89790995886779	1.89457317267486e-09	6.95488789911929e-07	11.3854721027293	NA
"16913403"	0.437136668594038	8.20580067476586	6.83331632994676	2.4832610772312e-09	8.97349670830093e-07	11.1272654332915	"MANBAL"
"17117736"	0.974027309652577	4.7602257324613	6.80844388384834	2.75564668427464e-09	9.80459090264916e-07	11.0279486247359	NA
