"logFC"	"AveExpr"	"t"	"P.Value"	"adj.P.Val"	"B"	"Symbol"
"16742840"	-1.05297665995448	8.21322524258974	-10.1188333432029	2.36805640922395e-15	5.47660405761222e-11	24.1883730693625	"LOC100506282"
"16951079"	-0.969407587070151	5.45904262778193	-8.92651211233414	3.52661124501492e-13	4.07799691317301e-09	19.486789738487	"LOC102725086"
"16967690"	-0.795948912609851	6.97288611199324	-8.7196968980698	8.4660355933635e-13	6.52646683892392e-09	18.661020611794	NA
"16887358"	-1.85714418401681	4.13762225760957	-8.54144429452109	1.80280093080037e-12	7.0995642681268e-09	17.9476985884293	NA
"16988537"	-1.09738836976113	9.01572422383745	-8.52401114068574	1.94120249592501e-12	7.0995642681268e-09	17.8778684011233	NA
"16735818"	-0.681147916186285	10.558203269853	-8.52205475561077	1.95738355546451e-12	7.0995642681268e-09	17.8700312346931	NA
"16808993"	-1.04947891319849	7.07145211370336	-8.50005908659571	2.14887144363245e-12	7.0995642681268e-09	17.7819086584164	NA
"16706423"	-1.61710204624919	7.87088986490544	-8.34125525339809	4.21666286305182e-12	1.07792446792607e-08	17.1452332764562	NA
"16706422"	-1.70772030817043	7.79807479384053	-8.33557429100639	4.31961156412257e-12	1.07792446792607e-08	17.1224442631661	NA
"17075360"	-0.828718377683054	6.10016954882547	-8.31766594892285	4.66089189227342e-12	1.07792446792607e-08	17.0506004012084	NA
"16785083"	1.2502594625318	6.48779977430293	8.22374565788815	6.94518943304722e-12	1.4601945092553e-08	16.673701790857	NA
"16952414"	1.17221976357774	7.62072197058234	8.1370439563228	1.00369369418865e-11	1.78719439031802e-08	16.3256343633902	"CSRNP1"
"16889406"	-1.54580924450455	5.92993141747512	-8.13682999279414	1.00460617780665e-11	1.78719439031802e-08	16.3247752716958	NA
"16923682"	-0.888833638091352	6.42608894749152	-7.99765491622595	1.81419514608725e-11	2.99692079596855e-08	15.7658849836362	"LINC01424"
"17117999"	-0.817553312648524	7.31632220132429	-7.75570225447631	5.06632625417996e-11	7.81126181869466e-08	14.7942684894813	"LOC100508227"
"16676983"	1.41470712300248	7.49352407439221	7.6292899908028	8.65933550213744e-11	1.25165282598708e-07	14.2869131965181	"G0S2"
"16819792"	-0.815254798998826	9.27108322494176	-7.59163051070155	1.01576167555103e-10	1.32592576187644e-07	14.1358356953707	NA
"17075392"	1.0300071973504	4.57329518234371	7.58215855380943	1.05735333928132e-10	1.32592576187644e-07	14.0978432713626	"LOC286058"
"16711125"	0.663066361992058	8.2429183494863	7.57512899582145	1.08931506359027e-10	1.32592576187644e-07	14.0696490459949	"IDI1"
"16664005"	0.579796205161973	8.15732616064858	7.53709199209823	1.2797390983366e-10	1.47982630636153e-07	13.9171151842153	"PLK3"
"16740332"	1.52835416213429	6.64136613555251	7.51927941754554	1.37999750491167e-10	1.51977153790915e-07	13.845699739862	NA
"16903897"	0.996285044379665	6.6471601699981	7.48366113621461	1.60458066632496e-10	1.6867789577317e-07	13.7029284514523	"NR4A2"
"17005757"	-0.591981269706038	5.77476424017562	-7.40266415470231	2.2603559091525e-10	2.26117133781968e-07	13.378438866273	"LOC105374989"
"16811670"	1.22977798617817	4.20662351100711	7.39381572002586	2.34652622941464e-10	2.26117133781968e-07	13.3430065376812	NA
"16851247"	-1.06089392141291	5.09164036284311	-7.32962253056031	3.07786898532861e-10	2.84727504094779e-07	13.0860595071151	NA
"16801656"	-0.529211925870053	6.07661598082203	-7.26963604505127	3.96516218410649e-10	3.52701176276272e-07	12.8461326610997	"RORA-AS1"
"16989199"	-0.808692478989938	6.55461721530837	-7.2542328386091	4.23149600834702e-10	3.6245114142608e-07	12.7845554265516	NA
"16933766"	0.846425737550013	6.03789022397143	7.1742326622537	5.92953366802597e-10	4.89758304072988e-07	12.4649585652246	"OSM"
"16832568"	-0.747492431693979	9.01660471049932	-7.1605247100349	6.28215597692186e-10	5.0099110785611e-07	12.4102348831231	NA
"17103543"	-0.954032868781344	6.01262437206434	-7.12278349128606	7.36464957313079e-10	5.67740835592653e-07	12.259630366413	NA
"17072601"	0.806128896322296	8.66151699972483	7.071549625398	9.13702499778803e-10	6.71569829207709e-07	12.0553382871792	"TRIB1"
"16883546"	-0.616941914666955	6.05793743656679	-7.06123193078143	9.54232730129745e-10	6.71569829207709e-07	12.0142195218649	NA
"16740326"	0.60532424819224	7.60414189780608	7.06022930697901	9.58265419806044e-10	6.71569829207709e-07	12.0102242106463	"FAU"
"16670270"	-0.510828312216422	6.88709124508339	-6.99186125499244	1.27729348971171e-09	8.68822545193019e-07	11.7379654596946	NA
"16691383"	-0.817727110402722	6.90077122521306	-6.92334822916017	1.70288710772437e-09	1.1252191468669e-06	11.4655018423277	NA
"16999773"	0.891789430980706	5.92074323432491	6.90271259406324	1.85680940789719e-09	1.19017572619419e-06	11.3835154163293	NA
"16782094"	-1.07799996063645	7.54435032791863	-6.89671135337014	1.90411648156635e-09	1.19017572619419e-06	11.3596791767742	NA
"17061879"	-0.928750866747284	5.73200827679536	-6.87499542066275	2.08553919779885e-09	1.26927013230247e-06	11.2734527925635	NA
"17094863"	-1.17093421215011	4.78582959515274	-6.86564452260404	2.1688611548372e-09	1.28613466481846e-06	11.2363367571713	NA
"16795366"	-1.00067319008833	6.6979754240597	-6.8298801172298	2.51923502232335e-09	1.4565587090318e-06	11.0944535671206	"SNORA79"
"17023377"	-0.92906384969865	5.6674914835645	-6.82361937642807	2.58611633965295e-09	1.45875884358912e-06	11.0696285836044	NA
"16743293"	-0.919495525741014	6.0722929419253	-6.69831585965822	4.36538731663867e-09	2.40376934456911e-06	10.5735995570718	NA
"16990845"	-0.645558509003706	9.58718194626836	-6.65889386958705	5.14520552988206e-09	2.76728298347866e-06	10.4178856324216	NA
"16729574"	-0.669717026109023	7.37318316903621	-6.65052966779986	5.32767188657882e-09	2.80029699365701e-06	10.3848699430411	"RAB30-AS1"
"16712477"	-0.493428484516294	6.51974032282081	-6.636569349351	5.64664206030516e-09	2.90199757619283e-06	10.3297826304751	NA
"16981660"	0.645025644524038	4.1623217675483	6.61996489223915	6.05080220171078e-09	3.04210657649925e-06	10.2642907533372	NA
"16703112"	-0.645647760495531	6.20881045682619	-6.61351766439903	6.21536149319474e-09	3.05379019653744e-06	10.2388700167059	"LOC100130992"
"16740330"	0.831577961741959	8.00567842078235	6.60881721561638	6.33812986698652e-09	3.05379019653744e-06	10.2203397180093	NA
"16793962"	-0.544696821423874	4.17596168063268	-6.58079592328723	7.12159817132349e-09	3.3612489981265e-06	10.1099274586938	NA
"16997676"	-1.0664531849851	7.90301113033021	-6.56607397100103	7.57100658116099e-09	3.50189338405021e-06	10.0519564404015	"MTRNR2L2"
"16705959"	-0.943563753636672	9.09135855217874	-6.53025690088276	8.78539413847499e-09	3.98391784785316e-06	9.91103009662935	NA
"16890326"	-0.628020024205083	7.0004822078211	-6.50952827888922	9.5745704824562e-09	4.25829022207239e-06	9.82954465332567	"LOC101928020"
"17061859"	-0.48788927344447	5.15631254482889	-6.48573787513509	1.05673299564142e-08	4.5838918887599e-06	9.73609128150107	"IMMP2L"
"16710632"	-0.490035677335436	7.2866207492567	-6.48265846711546	1.07030813332051e-08	4.5838918887599e-06	9.72400015604715	"LOC102724883"
"16740335"	1.21450527976022	7.08135402291533	6.46941004017952	1.13071297479371e-08	4.61745974576694e-06	9.67199519768128	NA
"16996785"	-0.691321784191246	7.03572648144096	-6.46917584111762	1.13181065387348e-08	4.61745974576694e-06	9.67107608913368	NA
"16900519"	-0.425801577434768	10.6707022583241	-6.4678503739606	1.138043003886e-08	4.61745974576694e-06	9.66587446281785	NA
"17118358"	-0.764720391811045	8.46434387714684	-6.46249332390589	1.16358065005458e-08	4.63967753341592e-06	9.64485378978394	NA
"16876645"	-0.568170478177302	6.47525196492214	-6.44452859780749	1.25344205476349e-08	4.913280406867e-06	9.5743896160335	NA
"16863877"	0.575621544592096	8.93367314248694	6.42899278020145	1.33668272959757e-08	5.06435463231766e-06	9.51348778095605	"PPP1R15A"
"16847824"	-0.462118687837638	12.2131386928904	-6.42703660573573	1.34754517490116e-08	5.06435463231766e-06	9.50582173877273	NA
"16740338"	1.12144527766125	6.16493653357286	6.42522603122653	1.35767711853546e-08	5.06435463231766e-06	9.49872675670842	NA
"16670245"	-0.451009763835931	7.33947710387301	-6.41691352423141	1.40517208087019e-08	5.10362093682821e-06	9.4661588772711	NA
"17056957"	-0.747340920007263	4.82532100255903	-6.41568336050096	1.41233942991744e-08	5.10362093682821e-06	9.46133998587936	NA
