"logFC"	"AveExpr"	"t"	"P.Value"	"adj.P.Val"	"B"	"Symbol"
"16765281"	0.634179761550883	5.11841068769849	6.08233713101996	5.5589805679162e-08	0.00128562543594198	7.73760392692607	NA
"17100687"	0.495367681270688	11.6796209302387	5.62140630081362	3.57576468043421e-07	0.00413483548822009	6.11081332538996	NA
"16918664"	0.335232163996054	8.60210341815888	5.50455277920483	5.69016052285292e-07	0.00438654474706732	5.70437733079089	"EIF6"
"16894153"	0.471324547283308	2.40866782199036	5.28125083923381	1.36945449505337e-06	0.00706288091477668	4.93577456566054	NA
"16948738"	0.39863019445081	8.57691433082724	5.25333113754381	1.52697732407504e-06	0.00706288091477668	4.84048109633616	"AP2M1"
"16839493"	0.455003546507225	11.0856571857586	5.02076455917591	3.74914290313451e-06	0.014303797403199	4.05436225958698	NA
"17016503"	0.558724197939577	10.7806094836984	4.98310901879258	4.32942369621624e-06	0.014303797403199	3.9284404185839	"HIST1H3I"
"16793252"	0.413583412219497	7.71894815286227	4.82591237565375	7.85606528045324e-06	0.0203483888176267	3.40719194611856	NA
"17065706"	-0.361249270030169	4.07243882618217	-4.78462564676296	9.17448073880223e-06	0.0203483888176267	3.27152228676852	"LOC101929248"
"16839492"	0.530311137943194	10.5838600204332	4.7726788464355	9.59468130387201e-06	0.0203483888176267	3.23236381848186	NA
"16726439"	0.309896790707219	9.23032884689665	4.77035980994898	9.6783965492236e-06	0.0203483888176267	3.22476783215396	"PRDX5"
"16839488"	1.07374645554894	9.66565534880927	4.66054004765961	1.45725402317053e-05	0.0243209098271005	2.86703161698069	NA
"16913403"	0.303646542923394	8.20580067476586	4.65787061162934	1.47174414592468e-05	0.0243209098271005	2.85838509579367	"MANBAL"
"17052677"	0.622199060411707	6.66370806456431	4.64101950558802	1.56650626766612e-05	0.0243209098271005	2.80385792687004	NA
"16965490"	0.500567027499379	6.20998421371478	4.63914012316109	1.57743610241928e-05	0.0243209098271005	2.79778248034163	NA
"16974115"	-0.652447528713258	7.2492476774865	-4.61411762316179	1.73022523005906e-05	0.0250093243097349	2.71700627764208	NA
"17100699"	0.567551531158241	10.7787409814327	4.57478200576179	1.99994540491761e-05	0.0258875091427982	2.59045695603812	NA
"16839489"	0.54849426066407	11.6448295143418	4.57119492519143	2.02648368252658e-05	0.0258875091427982	2.57894324546909	NA
"16758130"	0.276706000410888	8.90309654945522	4.55803743006442	2.12678978558899e-05	0.0258875091427982	2.53674898512392	"ORAI1"
"16915656"	0.215522208297093	8.56201212066726	4.53787601210093	2.28991834780716e-05	0.0259877537455072	2.47221155627373	"ADRM1"
"16859824"	0.381017187464526	9.69232286605711	4.52849392159504	2.36991543090049e-05	0.0259877537455072	2.44222792135228	NA
"16866539"	0.38701080364156	10.5142756332744	4.50499400211803	2.58239252456726e-05	0.0259877537455072	2.36726308681334	"R3HDM4"
"17118399"	0.561543196720419	7.58471259148643	4.50265589197615	2.60451783174978e-05	0.0259877537455072	2.35981528126148	NA
"16790078"	0.46201279071969	5.18351158297331	4.49309993893281	2.69687417257825e-05	0.0259877537455072	2.32939617201338	NA
"16748615"	0.326160813612485	2.24523520898822	4.45500054435712	3.09773959133864e-05	0.0284035140146786	2.20844382083144	NA
"16991710"	0.473516480199106	3.91581283943959	4.44663546245463	3.19320000165021e-05	0.0284035140146786	2.18195840419997	NA
"16915079"	-0.344199939018957	5.08156037267548	-4.34334415169897	4.63441548082312e-05	0.0374003384112698	1.85706717326079	NA
"16983000"	0.725250347123481	4.62019876824169	4.34209559691853	4.65520702835994e-05	0.0374003384112698	1.85316470267692	NA
"16871781"	0.495010588582652	5.4964243784362	4.3400302288777	4.68979899652711e-05	0.0374003384112698	1.84671052485085	NA
"17030718"	0.459021880304195	5.54112668868215	4.29128794582233	5.58229633855246e-05	0.0430339224739009	1.69487300883477	NA
"16736470"	0.664465241413842	8.135634204101	4.27786105128369	5.85571029694873e-05	0.043685487754043	1.65320998806344	NA
"16740560"	0.207883043845429	12.1319385043368	4.25255916879282	6.40654699502365e-05	0.0463013163605975	1.5748934212238	NA
"16866565"	0.279953722883981	9.21473590598778	4.23796778725503	6.74664074999191e-05	0.0463074149391059	1.52984501491579	"POLR2E"
"17005569"	0.378412312226056	12.2747515884568	4.23541725269907	6.80785276053789e-05	0.0463074149391059	1.52197944526769	"HIST1H1E"
