"logFC"	"AveExpr"	"t"	"P.Value"	"adj.P.Val"	"B"	"Symbol"
"17100687"	0.669061044459113	11.6796209302387	7.59246941848072	1.0121576673955e-10	2.34081703738557e-06	13.9754008845956	NA
"16918664"	0.440562526624788	8.60210341815888	7.2340901047148	4.60685191186907e-10	5.3271332082898e-06	12.5703714658442	"EIF6"
"17075271"	0.592322623178863	9.9598228044265	6.80408194391293	2.80638826305352e-09	1.47646926974176e-05	10.8929103524461	"DOK2"
"16856476"	0.513595599087038	8.58281935271859	6.71635008603714	4.04895917257212e-09	1.47646926974176e-05	10.5524014874931	"ATP5D"
"16915656"	0.31711175494439	8.56201212066726	6.67687027377579	4.77378767108532e-09	1.47646926974176e-05	10.3994080924841	"ADRM1"
"16707944"	-0.39114575943373	8.88392685522157	-6.6698062357046	4.91645261345845e-09	1.47646926974176e-05	10.3720496099874	"C10orf12"
"16840620"	0.368161315076893	9.61957707400975	6.6667711455239	4.97904245115799e-09	1.47646926974176e-05	10.3602964819373	"GPS2"
"16674470"	-0.362974863477191	9.54683816270095	-6.62244404424969	5.98868242531009e-09	1.47646926974176e-05	10.1887513981103	"CEP350"
"16839493"	0.59896845506012	11.0856571857586	6.60935417825902	6.32398430135911e-09	1.47646926974176e-05	10.1381332490995	NA
"16832658"	-0.345718230883	9.72261395940475	-6.60707737509567	6.38417983197888e-09	1.47646926974176e-05	10.1293307848679	"TAOK1"
"16740560"	0.320201740701789	12.1319385043368	6.55020641941957	8.08694711867524e-09	1.70024387285093e-05	9.90964322207727	NA
"17094863"	-1.12265314423149	4.78582959515274	-6.45950453003252	1.1780747983959e-08	2.2704446552085e-05	9.56003815038964	NA
"16758130"	0.390497696032249	8.90309654945522	6.43247024721503	1.31758669382555e-08	2.34398672831566e-05	9.45602887517976	"ORAI1"
"16825548"	0.416474768411446	9.4127659505848	6.34052686722324	1.92643235239861e-08	3.05308584226866e-05	9.10299886535584	"CDIPT"
"16924147"	-0.857610337504234	8.00642695285865	-6.33385130368168	1.98020874449907e-08	3.05308584226866e-05	9.07741101972547	NA
"16900519"	-0.423509262161271	10.6707022583241	-6.3127763474152	2.15993781851194e-08	3.12205512054535e-05	8.99666978188978	NA
"16806584"	-0.979651949574391	8.31321787309372	-6.23901186367176	2.92595935345116e-08	3.81343794170798e-05	8.71456366522044	NA
"16932023"	-0.542917564040119	7.19190631820087	-6.23553661655444	2.9680409456801e-08	3.81343794170798e-05	8.70129242641853	"MIR3198-1"
"16861382"	0.52405717799679	10.3231941292656	6.1794769037821	3.73586989200484e-08	4.54734015749452e-05	8.48746391926176	NA
"16924153"	-0.691850496954687	7.90461709082574	-6.15142079133596	4.1909751450398e-08	4.84623410896678e-05	8.38063159207553	NA
"17082935"	-0.482967257589036	6.36982812160482	-6.13153966907544	4.54628754880352e-08	5.00676153053233e-05	8.30500355507525	"ZNF250"
"16859824"	0.511428770432291	9.69232286605711	6.07847140346414	5.64741018627286e-08	5.6983618003266e-05	8.10344563610131	NA
"16827248"	0.483449089561756	8.42595068581135	6.07762012110558	5.66706971970043e-08	5.6983618003266e-05	8.10021618720705	"TRADD"
"16839492"	0.66486919459626	10.5838600204332	5.98367055423997	8.30942591678968e-08	7.91601730407258e-05	7.74456973393926	NA
"16681611"	0.47163850700351	9.45463384428593	5.9749420132091	8.609489239499e-08	7.91601730407258e-05	7.71160651487727	"SRM"
"16875760"	0.709048877073977	8.77550689068423	5.96678984893964	8.8994011288056e-08	7.91601730407258e-05	7.68083237480057	"TMEM238"
"16718800"	-0.308893360595475	9.05882327910839	-5.92218681502685	1.06649608824668e-07	9.13513149365965e-05	7.51267248753965	"RAB11FIP2"
"16741075"	0.44827434913518	7.39794064507358	5.90997264657826	1.12060784014243e-07	9.25582054249071e-05	7.46668766816253	"CDK2AP2"
"16694188"	-0.338379001680122	9.54313265062024	-5.88350603927825	1.24734229832777e-07	9.94733977014704e-05	7.36714093441971	NA
"16786255"	0.647269283718766	6.33137383267872	5.85211624431334	1.41610242087429e-07	0.000108149083274687	7.24925131348871	"ACOT2"
"16864553"	0.42951581680718	8.41585961059648	5.84631775840638	1.44965692978567e-07	0.000108149083274687	7.22749511862776	"EMC10"
"16929056"	-0.293420674817455	11.2639377579698	-5.80549244055772	1.70918204018863e-07	0.000123525790760758	7.07450502385498	"TUG1"
"16963685"	-0.542077930186187	7.8221834955088	-5.77596005835995	1.92501069350831e-07	0.000134908249420505	6.96404354618527	"MIR571"
"16872089"	0.312523499298394	7.66474367317809	5.76181047028756	2.037740658112e-07	0.000137993327864336	6.91118245251278	"SIRT2"
"16861380"	0.484547403759787	11.1590430942315	5.75570561201653	2.08836704944513e-07	0.000137993327864336	6.88838826861983	"CAPNS1"
"17118166"	-0.382832123555721	8.39361259968855	-5.70312635421986	2.57902369277498e-07	0.000165680780396686	6.69239343535566	"ZNF451"
"16765281"	0.593642044356463	5.11841068769849	5.69354506062112	2.6799563756062e-07	0.000167511759726067	6.65674164910036	NA
"17046249"	0.526985979246982	7.28080020788268	5.66000804945477	3.0648938383497e-07	0.000184238087599641	6.5321084293952	"MRPS17"
"17064603"	-0.304623024887473	10.5823710957129	-5.65660449069769	3.10688174704284e-07	0.000184238087599641	6.51947362639622	"KMT2C"
"16870387"	0.347954070152314	9.80660890089714	5.64298104799411	3.28069936168381e-07	0.000186610659892623	6.46892596353923	"LSM4"
"16958012"	-0.415705909721227	10.2909923863359	-5.64088570271895	3.30827044389567e-07	0.000186610659892623	6.46115517860728	NA
"16861386"	0.605614415360703	11.0812845712319	5.6299078337192	3.45649560948477e-07	0.00018803524158576	6.4204587857338	NA
"16861392"	0.338860444578783	11.910115050236	5.62531089593987	3.52049127801574e-07	0.00018803524158576	6.40342538099906	NA
"16872223"	0.916165742339206	9.6358229868377	5.61711372180001	3.63751757858136e-07	0.00018803524158576	6.37306356800251	NA
"16822801"	0.402792364625481	8.02504063451577	5.61514418018027	3.66620192255579e-07	0.00018803524158576	6.36577077770083	"NME3"
"16990845"	-0.55424605468669	9.58718194626836	-5.61014240725937	3.74005323342628e-07	0.00018803524158576	6.34725424453998	NA
"17110763"	0.390444003152856	8.60217422704897	5.60016407490373	3.89178989294496e-07	0.000191500903944974	6.31033154903793	NA
"17115971"	-1.01728206701401	7.7962523630495	-5.58645001927688	4.11027342237963e-07	0.000198038111332029	6.25962283495166	NA
"16834766"	0.380280421158755	11.7206852522598	5.56070391261384	4.55356993177826e-07	0.000214919207780073	6.16454228999584	"GRN"
"16988537"	-0.727301317292641	9.01572422383745	-5.54373958851901	4.87106212996843e-07	0.00022530610775956	6.10197769116705	NA
"16913403"	0.359652364695082	8.20580067476586	5.51698749403795	5.41655045558872e-07	0.000245624632130197	6.00345437056907	"MANBAL"
"16954759"	-0.668996581134854	7.7458204836258	-5.50659386252475	5.64433370179504e-07	0.000251031741387334	5.96522268852069	"MIRLET7G"
"16882821"	-1.04621993375149	5.34733819610475	-5.49402345309573	5.93244809021257e-07	0.000258867409400653	5.91901891710753	NA
"16740640"	0.465536006842629	7.150152268467	5.47772034948488	6.32776375464608e-07	0.000267903062933065	5.85915262974343	"C11orf68"
"16868472"	0.483116796206112	8.17727824359581	5.47599061225631	6.37119750132684e-07	0.000267903062933065	5.85280472113544	"FBXL12"
"16870493"	0.471336047833042	9.40453100751875	5.4638090952363	6.68549483591061e-07	0.000276098998339473	5.80812104335194	"COPE"
"16861384"	0.576951292664857	11.6350538094189	5.44955752268242	7.07260311382347e-07	0.000286961565286658	5.75589077119924	NA
"16700361"	-0.547131567651744	5.99560184924037	-5.44306052091875	7.25631654583648e-07	0.000289339366819932	5.73209686377356	NA
"16790078"	0.556213496273575	5.18351158297331	5.40920700971817	8.29222840547637e-07	0.000320989616206847	5.60828756109481	NA
"16718386"	0.407450280443721	4.45108918587837	5.40812415250866	8.32765900134511e-07	0.000320989616206847	5.60433213065354	NA
"16916196"	0.32842503889321	7.22943172990548	5.40086116859935	8.5691783946623e-07	0.000324884243825172	5.57780986207582	"TCEA2"
"17057839"	-0.701957418405797	9.05425538536486	-5.39467617611847	8.78027080485838e-07	0.000327518262748322	5.55523476946515	NA
"16996347"	0.714005336266951	6.37921320230824	5.38514440202812	9.11563801234458e-07	0.000334630730653163	5.52046329372313	"RNU6ATAC"
"16924151"	-0.652478443981352	9.73247807464273	-5.37157513661011	9.61488377197813e-07	0.000347442839053966	5.47100383408315	NA
"16667830"	-0.470004908110831	4.60361192808707	-5.36404010205689	9.90362268105574e-07	0.000351668363918919	5.44355962969062	NA
"16671516"	0.307395652051635	6.69557551707679	5.36065904758215	1.00359372243043e-06	0.000351668363918919	5.43124993603207	"FLAD1"
"16764091"	-0.643572868525116	7.60385164914405	-5.35575911713615	1.02307804197503e-06	0.000353145162339651	5.41341566463962	NA
"17055556"	-0.394689736904353	8.15952858945866	-5.34551717866585	1.06501303899313e-06	0.000362214066952855	5.37615850797533	"SNX13"
"16823561"	0.447775729457542	8.45485367548239	5.34132204928009	1.08267331608312e-06	0.000362883851899338	5.360905863293	"NMRAL1"
"16765884"	0.500047515838197	6.27618386072451	5.33634617798537	1.10399363707968e-06	0.000364743726353452	5.3428206479098	NA
"16808993"	-0.666987379702317	7.07145211370336	-5.3011566297248	1.26700480187585e-06	0.00041270450778849	5.21511019529399	NA
"17048246"	-0.38503272660005	8.62138238620347	-5.28752646769787	1.3363072866911e-06	0.000424299443636832	5.16573317680532	"AKAP9"
"16811656"	0.291349065464763	9.6243472499119	5.28695471549896	1.33929430472991e-06	0.000424299443636832	5.16366303594386	"UBL7"
"16726439"	0.343111261568071	9.23032884689665	5.28164286177323	1.36736043745649e-06	0.000426724888298519	5.14443469710382	"PRDX5"
"16823102"	0.402239527185154	10.1815560904893	5.27731037367681	1.39067888116385e-06	0.000426724888298519	5.12875727337617	NA
"16794437"	-0.584729989667649	7.27355971470581	-5.27517698743182	1.40230429846878e-06	0.000426724888298519	5.12103935112798	NA
"17018274"	0.440189076651713	8.50224958771095	5.27140884620144	1.42307152265402e-06	0.000427420455901553	5.10741045254436	"BAK1"
"17103282"	0.372441466035937	8.0945007266317	5.25760537342787	1.50175741264095e-06	0.00044527107284804	5.05751843727237	"FTSJ1"
"16690001"	-0.761254689166066	6.96217533357941	-5.24483822589673	1.57832933068824e-06	0.000461133078846027	5.01141917722955	NA
"16687638"	-0.397219419623667	9.07007407573238	-5.24211791015502	1.59513323421465e-06	0.000461133078846027	5.00160260485395	"USP24"
"16863783"	0.358160010544534	7.2911012645209	5.22691030950053	1.69235873319593e-06	0.000478436764563718	4.94676240374149	"GRWD1"
"16746640"	-0.334367986544042	7.57487412427727	-5.2263023382306	1.69636419311735e-06	0.000478436764563718	4.94457134636454	"ERC1"
"16861388"	0.448542899498673	11.2056422017243	5.20467659502014	1.84505194308376e-06	0.000514102605875881	4.86670267822634	NA
"16847824"	-0.380394705318061	12.2131386928904	-5.1915434993457	1.94151228989534e-06	0.000534539937242969	4.81947875879605	NA
"16761511"	-0.81496409345417	5.46813630861148	-5.18252716506596	2.01058218184133e-06	0.000547043930816993	4.78708649243767	"TAS2R20"
"16859817"	0.268952766544825	9.69336575613346	5.17321288574093	2.08446466622327e-06	0.000556690565846676	4.75364842560863	"KXD1"
"16840406"	-0.560487727438948	6.45655867978869	-5.16953238949547	2.1143873109981e-06	0.000556690565846676	4.7404424392896	NA
"16839497"	-0.363015191202869	11.440537450702	-5.16456247333285	2.15546238266429e-06	0.000556690565846676	4.72261612357012	NA
"17016503"	0.578963591690075	10.7806094836984	5.16361866184173	2.16335067818363e-06	0.000556690565846676	4.719231629751	"HIST1H3I"
"16950017"	-0.313426675612142	10.0625782877187	-5.16325566151292	2.1663921358672e-06	0.000556690565846676	4.71792998503834	"PAK2"
